q1,q2,q3
0.0,0.0,-0.0
-0.025433592561087244,0.049634325745669554,-7.394877984517878e-05
-0.051683617707501475,0.09849940849124872,-0.0002917151866994594
-0.07866337865903733,0.14651137588775762,-0.0006471793215411803
-0.10629208847104733,0.1935912982524349,-0.001134221285348791
-0.13449391508584788,0.23966448109009642,-0.0017467211791005743
-0.16319711294248834,0.28465989940689496,-0.002478559103774869
-0.1923332339680846,0.3285097596561278,-0.003323615160349791
-0.22183641210763266,0.37114917779130935,-0.004275769449804012
-0.2516427169836809,0.4125159640264039,-0.005328902073115704
-0.28168957374934,0.45255050656060153,-0.006476893131263317
-0.31191524765300704,0.4911957477500148,-0.007713622725225078
-0.3422583932198302,0.5283972470321514,-0.00903297095597927
-0.37265766921993626,0.564103325356972,-0.01042881792450423
-0.4030514216803454,0.5982652859781082,-0.011895043731778465
-0.4333774380452554,0.6308377062389975,-0.01342552847877998
-0.4635727761344489,0.6617787944876671,-0.015014152266487557
-0.4935736717285012,0.6910508055148068,-0.016654795195879202
-0.5233155283649271,0.7186205069882514,-0.018341337367933475
-0.5527329922156115,0.744459688318285,-0.020067658883628436
-0.5817601137073332,0.7685457023085557,-0.021827639843942592
-0.6103305958449505,0.7908620289087283,-0.023615160349854225
-0.6383781270357691,0.8113988494715564,-0.025424100502341673
-0.6658367936658875,0.8301536192073204,-0.02724834040238333
-0.6926415648545082,0.84713162508685,-0.02908176015095748
-0.7187288388533255,0.8623465163120643,-0.03091823984904246
-0.7440370376314149,0.8758207946587245,-0.03275165959761661
-0.7685072334672278,0.887586252469232,-0.03457589949765827
-0.7920837890252346,0.8976843467588204,-0.03638483965014577
-0.8147149905646173,0.9061664986775174,-0.038172360156057406
-0.8363536527044759,0.9130943082841777,-0.03993234111637156
-0.8569576725888679,0.9185396750510821,-0.04165866263206652
-0.8764905113248302,0.9225848145285125,-0.04334520480412074
-0.8949215811151021,0.925322160968839,-0.044985847733512385
-0.9122265174338311,0.9268541442851983,-0.04657447152121991
-0.9283873167328026,0.927292827413914,-0.04810495626822159
-0.9433923213590623,0.9267593869757819,-0.04957118207549577
-0.9572360344969508,0.925383416237636,-0.05096702904402073
-0.969918748984288,0.9233020250793964,-0.052286377274774976
-0.9814459748734178,0.9206587074853583,-0.053523106868736625
-0.9918276518292299,0.9176019437216942,-0.05467109792688418
-1.001077134234647,0.9142835027471602,-0.05572423055019593
-1.0092099396833842,0.9108564115776074,-0.05667638483965015
-1.0162422559136521,0.907472563350913,-0.05752144089622524
-1.0221892076699983,0.9042799456089925,-0.05825327882089948
-1.0270628937946482,0.901419485288031,-0.05886577871465121
-1.030870216032044,0.8990215268136712,-0.05935282067845876
-1.0336105340848554,0.8972019832441895,-0.05970828481330054
-1.0352731953122338,0.8960582251113582,-0.059926051220154875
-1.0358350004765002,0.8956647938578652,-0.06
-1.0362713723179056,0.8988146106735779,-0.0629379765233874
-1.0375012980613594,0.9080001160169368,-0.06563625700175951
-1.0393359377446936,0.9227122688961522,-0.06810504126681904
-1.041512948970425,0.9423269005221246,-0.07035452915026907
-1.0437216877707394,0.9661501989382136,-0.07239492048381196
-1.0456260285473258,0.9934595815140218,-0.07423641509915091
-1.0468828348688828,1.023535888681359,-0.07588921282798827
-1.047155540942474,1.0556856906092669,-0.07736351350202719
-1.0461233375291918,1.0892545756417775,-0.07866951695297025
-1.0434869774672613,1.1236333495146056,-0.07981742301252032
-1.0389723248908216,1.1582593199781879,-0.08081743151238008
-1.0323326362587122,1.1926146102627213,-0.08167974228425234
-1.0233503222275004,1.2262230229020885,-0.08241455515983992
-1.011838684466831,1.2586465387487575,-0.0830320699708455
-0.9976438910786511,1.289482164549031,-0.0835424865489719
-0.9806472602245766,1.3183595557150631,-0.08395600472592196
-0.9607677634907938,1.34493962908592,-0.08428282433339845
-0.9379645361236979,1.3689142243462815,-0.08453314520310412
-0.9122390913612906,1.3900067543978774,-0.08471716716674177
-0.883636885646518,1.4079736920410757,-0.08484509005601415
-0.8522478779609166,1.4226066672286837,-0.08492711370262396
-0.8182057761624869,1.4337348962151102,-0.08497343793827405
-0.7816857669290425,1.4412276353861013,-0.08499426259466719
-0.7429006755139921,1.4449963538692974,-0.08499978750350623
-0.7020956783553053,1.4449963538692974,-0.08500021249649381
-0.6595418684570589,1.4412276353861009,-0.08500573740533279
-0.6155291200526235,1.4337348962151102,-0.08502656206172599
-0.5703587892677671,1.4226066672286835,-0.08507288629737608
-0.5243368063945577,1.4079736920410755,-0.08515490994398589
-0.477767663036587,1.3900067543978776,-0.08528283283325827
-0.43094968822258356,1.368914224346281,-0.08546685479689586
-0.38417186559512645,1.3449396290859204,-0.08571717566660153
-0.3377122954904867,1.3183595557150636,-0.08604399527407797
-0.2918382734703805,1.2894821645490322,-0.08645751345102803
-0.24680785428192664,1.2586465387487575,-0.08696793002915454
-0.202872700674588,1.2262230229020885,-0.08758544484016012
-0.16028197400400912,1.1926146102627209,-0.0883202577157477
-0.11928699508736623,1.1582593199781879,-0.08918256848761996
-0.08014637204734437,1.1236333495146051,-0.09018257698747967
-0.04313123811258568,1.0892545756417775,-0.09133048304702973
-0.008530149666793219,1.0556856906092675,-0.09263648649797274
0.0233469461875232,1.0235358886813601,-0.09411078717201166
0.05216644703330403,0.9934595815140215,-0.09576358490084913
0.07757148883252568,0.9661501989382136,-0.09760507951618796
0.09918604844829987,0.9423269005221252,-0.09964547084973097
0.1166236688485412,0.9227122688961525,-0.10189495873318088
0.129501182044423,0.9080001160169359,-0.10436374299824053
0.13745676164432813,0.8988146106735772,-0.10706202347661264
0.140170206618635,0.8956647938578652,-0.10999999999999999
